Open,Close,High,Low,Volume,Date
0,81.8,0,0,,04/25/18
0,81.8,0,0,,04/24/18
0,81.95,0,0,,04/23/18
0,81.8,0,0,,04/20/18
0,81.8,0,0,,04/19/18
0,81.3,0,0,,04/18/18
82,81.15,82,81,,04/17/18
0,81.85,0,0,,04/16/18
0,81.8,0,0,,04/13/18
0,81.95,0,0,,04/12/18
0,82.25,0,0,,04/11/18
0,82.15,0,0,,04/10/18
82,82.1,82,82,,04/09/18
0,81.2,0,0,,04/06/18
0,80.55,0,0,,04/05/18
0,79.9,0,0,,04/04/18
78.75,80.7,80,78.75,,04/03/18
0,79,0,0,,03/29/18
0,79.4,0,0,,03/28/18
79.7,79.35,79.7,79.7,,03/27/18
0,79.45,0,0,,03/26/18
0,79.55,0,0,,03/23/18
0,80.2,0,0,,03/22/18
80.5,80.4,80.5,80.5,,03/21/18
0,80.5,0,0,,03/20/18
79.5,79.5,79.5,79.5,,03/19/18
0,80,0,0,,03/16/18
80.75,80.95,80.75,80.75,,03/15/18
81.2,81.05,81.2,80.7,,03/14/18
0,81.35,0,0,,03/13/18
0,80.95,0,0,,03/12/18
81.25,81.3,81.25,81.25,,03/09/18
81.75,81.1,81.75,81.1,,03/08/18
81,81.5,81.5,81,,03/07/18
0,81.1,0,0,,03/06/18
80.5,81.1,81.25,80.5,,03/05/18
78,78.95,79.1,77.9,,03/02/18
80,79.2,80,79.5,,03/01/18
82.1,81.55,82.1,81,,02/28/18
81.6,82.05,82.25,81.6,,02/27/18
86.4,83.55,86.4,83.5,,02/26/18
0,87,0,0,,02/23/18
0,86,0,0,,02/22/18
0,85.6,0,0,,02/21/18
0,85.65,0,0,,02/20/18
0,85.2,0,0,,02/19/18
0,85.15,0,0,,02/16/18
0,84.9,0,0,,02/15/18
0,85.05,0,0,,02/14/18
0,84.45,0,0,,02/13/18
0,82.45,0,0,,02/12/18
0,82.25,0,0,,02/09/18
0,83.65,0,0,,02/08/18
85.7,85.65,85.7,85.7,,02/07/18
86.55,85.5,86.55,86.55,,02/06/18
