DATE,CBBTCUSD
4/14/18,8003.11
4/15/18,8355.25
4/16/18,8048.93
4/17/18,7892.1
4/18/18,8152.05
4/19/18,8274
4/20/18,8866.27
4/21/18,8915.42
4/22/18,8795.01
4/23/18,8931.3
4/24/18,9650
4/25/18,8865.98
4/26/18,9272.11
4/27/18,8922.55
4/28/18,9329.99
4/29/18,9389.01
4/30/18,9243.82
5/1/18,9072.29
5/2/18,9190.48
5/3/18,9725.74
5/4/18,9685
5/5/18,9800
5/6/18,9600
5/7/18,9356.25
5/8/18,9177.81
5/9/18,9300.08
5/10/18,9010.51
5/11/18,8403.33
5/12/18,8475
5/13/18,8686.1
5/14/18,8670
5/15/18,8477.46
5/16/18,8344
5/17/18,8059
5/18/18,8238.51
5/19/18,8235.6
5/20/18,8516.86
5/21/18,8393.44
5/22/18,7987.7
5/23/18,7505
5/24/18,7584.15
5/25/18,7459.11
5/26/18,7337.95
5/27/18,7346.64
5/28/18,7107.94
5/29/18,7460
5/30/18,7380.01
5/31/18,7485
6/1/18,7514.32
6/2/18,7636.42
6/3/18,7706.37
6/4/18,7487.37
6/5/18,7612.51
6/6/18,7655
6/7/18,7684.93
6/8/18,7618.83
6/9/18,7496.4
6/10/18,6770.31
6/11/18,6881
6/12/18,6544.99
6/13/18,6302.32
6/14/18,6638.49
6/15/18,6391.22
6/16/18,6484.29
6/17/18,6447.16
6/18/18,6709.02
6/19/18,6736.41
6/20/18,6756.1
6/21/18,6719.01
6/22/18,6059.82
6/23/18,6178.29
6/24/18,6149.99
6/25/18,6246.01
6/26/18,6074
6/27/18,6132.17
6/28/18,5851.66
6/29/18,6202.36
6/30/18,6383.19
7/1/18,6349.5
7/2/18,6611.79
7/3/18,6502.62
7/4/18,6587.47
7/5/18,6532.95
7/6/18,6600
7/7/18,6753.28
7/8/18,6701.97
7/9/18,6664.01
7/10/18,6303.7
7/11/18,6390.04
7/12/18,6249.75
7/13/18,6216.29
7/14/18,6248.65
7/15/18,6348.73
7/16/18,6728.81
7/17/18,7315.01
7/18/18,7378.99
7/19/18,7470.01
7/20/18,7334.46
7/21/18,7408
7/22/18,7397.8
7/23/18,7720.09
7/24/18,8385.5
7/25/18,8157.15
7/26/18,7931.99
7/27/18,8184.21
7/28/18,8228.9
7/29/18,8216.34
7/30/18,8170.01
7/31/18,7727.27
8/1/18,7603.99
8/2/18,7533.92
8/3/18,7414.08
8/4/18,7005
8/5/18,7030.01
8/6/18,6938
8/7/18,6718.22
8/8/18,6282.5
8/9/18,6546.45
8/10/18,6146.01
8/11/18,6235.56
8/12/18,6316.01
8/13/18,6253.67
8/14/18,6195.01
8/15/18,6269.01
8/16/18,6315.9
8/17/18,6585.49
8/18/18,6396.64
8/19/18,6489.53
8/20/18,6258.74
8/21/18,6475.89
8/22/18,6359.99
8/23/18,6526.36
8/24/18,6690.88
8/25/18,6737.52
8/26/18,6709.98
8/27/18,6911.9
8/28/18,7071.01
8/29/18,7030.9
8/30/18,6983
8/31/18,7015.01
