"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"MO","Chamois Power Plant",2169,2012,305321.1,,927.955,340811.482,1476.031,3249559.916
"MT","J E Corette",2187,2012,765068.06,,1950.961,864369.45,1155.684,8241538.037
"NE","Lon D Wright Power Plant",2240,2012,400685.4,,1094.905,462786.496,427.016,4459576.915
"NE","Sheldon",2277,2012,1149389.21,,2760.247,1264722.725,3194.03,12058767.769
"NE","North Omaha Station",2291,2012,3305317.04,,11377.163,3677848.538,5571.683,35111946.973
"NV","Reid Gardner",2324,2012,1610223.35,,759.339,1736218.85,1606.895,16554391.522
"NH","Merrimack",2364,2012,1293757.06,,1004.233,1395642.239,1833.616,13602754.886
"NH","Schiller",2367,2012,481390.81,,736.46,668152.719,344.553,6443693.965
"NJ","B L England",2378,2012,185769.33,,1004.963,203023.519,390.149,1978684.471
"NJ","Hudson Generating Station",2403,2012,962998.35,,138.88,663637.308,372.827,9651734.886
"NJ","Mercer Generating Station",2408,2012,438888.96,,158.613,450684.705,223.915,5170134.547
"NM","Four Corners Steam Elec Station",2442,2012,14777882.75,,11748.866,15145753.13,40739.686,147635991.12
"NM","San Juan",2451,2012,11341944.77,,4603.969,11906236.262,15974.539,113541759.814
"NY","Danskammer Generating Station",2480,2012,293573.28,,1425.115,322589.106,411.574,3207224.826
"NY","GMMM Westover",2526,2012,,,,,,
"NY","Greenidge Generation LLC",2527,2012,,,,,,
"NY","Cayuga Operating Company, LLC",2535,2012,534010.34,,1544.92,554794.829,837.189,5406983.383
"NY","Huntley Power",2549,2012,739755.99,,2715.544,809796.388,530.227,7721290.159
"NY","NRG Dunkirk Power",2554,2012,665765.12,,2165.442,730779.34,576.414,6967767.072
"NY","S A Carlson",2682,2012,,86891.5,214.243,16731.075,32.031,163076.2
"NC","Asheville",2706,2012,2033252.68,,1812.377,1987490.072,958.803,19399838.361
"NC","Cape Fear",2708,2012,524533.75,,3298.309,476900.825,703.385,4651253.825
"NC","H F Lee Steam Electric Plant",2709,2012,899338.25,,5927.278,848169.525,1505.239,8271657.425
"NC","Roxboro",2712,2012,6645307.99,55234358.47,13372.574,14555177.666,13068.324,141877409.31
